Epoch: 246, Train Loss: 0.0278, Test MAE: 0.0350, Best MAE: 0.0272
Epoch: 247, Train Loss: 0.0270, Test MAE: 0.0283, Best MAE: 0.0272
Epoch: 248, Train Loss: 0.0273, Test MAE: 0.0329, Best MAE: 0.0272
Epoch: 249, Train Loss: 0.0278, Test MAE: 0.0274, Best MAE: 0.0272
Epoch: 250, Train Loss: 0.0270, Test MAE: 0.0279, Best MAE: 0.0272
Epoch: 251, Train Loss: 0.0279, Test MAE: 0.0295, Best MAE: 0.0272
Epoch: 252, Train Loss: 0.0280, Test MAE: 0.0415, Best MAE: 0.0272
Epoch: 253, Train Loss: 0.0272, Test MAE: 0.0320, Best MAE: 0.0272
Epoch: 254, Train Loss: 0.0283, Test MAE: 0.0319, Best MAE: 0.0272
Epoch: 255, Train Loss: 0.0274, Test MAE: 0.0323, Best MAE: 0.0272
Epoch: 256, Train Loss: 0.0266, Test MAE: 0.0328, Best MAE: 0.0272
Epoch: 257, Train Loss: 0.0266, Test MAE: 0.0319, Best MAE: 0.0272
Epoch: 258, Train Loss: 0.0272, Test MAE: 0.0303, Best MAE: 0.0272
Epoch: 259, Train Loss: 0.0273, Test MAE: 0.0328, Best MAE: 0.0272
Epoch: 260, Train Loss: 0.0266, Test MAE: 0.0356, Best MAE: 0.0272
Epoch: 261, Train Loss: 0.0271, Test MAE: 0.0304, Best MAE: 0.0272
Epoch: 262, Train Loss: 0.0266, Test MAE: 0.0300, Best MAE: 0.0272
Epoch: 263, Train Loss: 0.0269, Test MAE: 0.0290, Best MAE: 0.0272
Epoch: 264, Train Loss: 0.0264, Test MAE: 0.0309, Best MAE: 0.0272
Epoch: 265, Train Loss: 0.0279, Test MAE: 0.0299, Best MAE: 0.0272
Epoch: 266, Train Loss: 0.0265, Test MAE: 0.0308, Best MAE: 0.0272
Epoch: 267, Train Loss: 0.0263, Test MAE: 0.0289, Best MAE: 0.0272
Epoch: 268, Train Loss: 0.0265, Test MAE: 0.0325, Best MAE: 0.0272
Epoch: 269, Train Loss: 0.0269, Test MAE: 0.0288, Best MAE: 0.0272
Epoch: 270, Train Loss: 0.0272, Test MAE: 0.0286, Best MAE: 0.0272
Epoch: 271, Train Loss: 0.0260, Test MAE: 0.0385, Best MAE: 0.0272
Epoch: 272, Train Loss: 0.0260, Test MAE: 0.0308, Best MAE: 0.0272
Epoch: 273, Train Loss: 0.0268, Test MAE: 0.0308, Best MAE: 0.0272
Epoch: 274, Train Loss: 0.0259, Test MAE: 0.0303, Best MAE: 0.0272
Epoch: 275, Train Loss: 0.0261, Test MAE: 0.0339, Best MAE: 0.0272
Epoch: 276, Train Loss: 0.0264, Test MAE: 0.0322, Best MAE: 0.0272
Epoch: 277, Train Loss: 0.0260, Test MAE: 0.0323, Best MAE: 0.0272
Epoch: 278, Train Loss: 0.0258, Test MAE: 0.0348, Best MAE: 0.0272
Epoch: 279, Train Loss: 0.0257, Test MAE: 0.0316, Best MAE: 0.0272
Epoch: 280, Train Loss: 0.0255, Test MAE: 0.0328, Best MAE: 0.0272
Epoch: 281, Train Loss: 0.0257, Test MAE: 0.0269, Best MAE: 0.0269
Epoch: 282, Train Loss: 0.0261, Test MAE: 0.0331, Best MAE: 0.0269
Epoch: 283, Train Loss: 0.0256, Test MAE: 0.0334, Best MAE: 0.0269
Epoch: 284, Train Loss: 0.0261, Test MAE: 0.0454, Best MAE: 0.0269
Epoch: 285, Train Loss: 0.0252, Test MAE: 0.0305, Best MAE: 0.0269
Epoch: 286, Train Loss: 0.0253, Test MAE: 0.0319, Best MAE: 0.0269
